SSE Section,COUNTA of Designation,Total Staff Strength,PME Details not filled,PME Details filled,RC details Not Filled,RC details Filled
AB,33,33,0,33,1,32
AJJ E,55,55,48,7,47,8
AJJ W,22,22,4,18,9,13
BBQ,60,60,1,59,0,60
CGL,40,40,1,39,1,39
GPD,27,27,1,26,1,26
JTJ,25,25,0,25,0,25
KPD E,52,52,2,50,8,44
KPD W,41,41,0,41,3,38
MAS,28,28,0,28,0,28
MS,62,62,0,62,7,55
MSB,28,28,0,28,0,28
NYP,41,41,7,34,9,32
PCSTE/O/MAS,2,2,2,0,2,0
SCTRL,9,9,0,9,1,8
SPE,35,35,0,35,0,35
SRM,11,11,7,4,7,4
SSEHQ,12,12,0,12,0,12
SSETPWS,5,5,0,5,0,5
TBM,49,49,7,42,14,35
TMV,39,39,1,38,1,38
TRL,60,60,9,51,0,60
TRT,30,30,24,6,18,12
TVT,48,48,0,48,0,48
Grand Total,814,814,114,700,129,685
